contrast	short_label	chapter_direction	display_label	gene_id	baseMean	log2FoldChange	padj	best_description	annotation_confidence	log2FoldChange_fmt	padj_fmt	baseMean_fmt
P_OL_vs_P_BL	Pseudoalbino: ocular clara vs ciega clara	down	mpx / ENSSMAG00000020424	ENSSMAG00000020424	341.636414411957	-3.63014094260616	5.53617382227124e-06	Direct local gene symbol: mpx	direct_local_symbol	-3.63	5.54e-06	341.6
P_BD_vs_P_OD	Pseudoalbino: ciega oscura vs ocular oscura	up	mybpc2a / ENSSMAG00000008209	ENSSMAG00000008209	777.030371171096	3.35893604662293	9.70181313089822e-05	Direct local gene symbol: mybpc2a	direct_local_symbol	3.36	9.70e-05	777.0
P_BD_vs_P_OD	Pseudoalbino: ciega oscura vs ocular oscura	up	atp2a1l / ENSSMAG00000016974	ENSSMAG00000016974	40220.3681881405	3.05825010508675	0.000829162991740385	Direct local gene symbol: atp2a1l	direct_local_symbol	3.06	8.29e-04	40220.4
P_BD_vs_P_OD	Pseudoalbino: ciega oscura vs ocular oscura	up	casq1a / ENSSMAG00000013960	ENSSMAG00000013960	10375.5178852501	2.90641867047774	0.000829162991740385	Direct local gene symbol: casq1a	direct_local_symbol	2.91	8.29e-04	10375.5
P_BD_vs_P_OD	Pseudoalbino: ciega oscura vs ocular oscura	up	gatm / ENSSMAG00000014093	ENSSMAG00000014093	1126.29030150319	2.91359730360893	0.00126021260813385	Direct local gene symbol: gatm	direct_local_symbol	2.91	1.26e-03	1126.3
P_BD_vs_P_OD	Pseudoalbino: ciega oscura vs ocular oscura	up	prr33 / ENSSMAG00000006257	ENSSMAG00000006257	2224.5189579312	2.5470570582265	0.00410672751931186	proline rich 33 [Source:ZFIN;Acc:ZDB-GENE-030131-5326]	medium_ensembl_rest_symbol	2.55	4.11e-03	2224.5
P_BD_vs_P_OD	Pseudoalbino: ciega oscura vs ocular oscura	up	TPM1 / ENSSMAG00000016387	ENSSMAG00000016387	68804.2100399937	2.58872830405515	0.00692160792983828	Direct local gene symbol: TPM1	direct_local_symbol	2.59	6.92e-03	68804.2
P_surface_x_pigmentation	Pseudoalbino: superficie x pigmentacion	interaction_positive	crabp1a / ENSSMAG00000005604	ENSSMAG00000005604	66.671967651436	6.41056328906298	2.01413498094786e-07	Direct local gene symbol: crabp1a	direct_local_symbol	6.41	2.01e-07	66.7
P_surface_x_pigmentation	Pseudoalbino: superficie x pigmentacion	interaction_positive	dgat2 / ENSSMAG00000001438	ENSSMAG00000001438	237.922629736128	6.39211164529919	7.27861029856329e-06	Direct local gene symbol: dgat2	direct_local_symbol	6.39	7.28e-06	237.9
P_surface_x_pigmentation	Pseudoalbino: superficie x pigmentacion	interaction_positive	ENSSMAG00000031399	ENSSMAG00000031399	16.7709162457445	8.65984608783111	0.00189685419260769	No functional description available from local Salmon/GTF annotation	low_unannotated_id_only	8.66	1.90e-03	16.8
