method	contrast	direction	ontology	GO_ID	Description	pvalue	p.adjust	qvalue	Count	signed_effect	p_adjust_fmt	signed_effect_fmt
ORA	P_BD_vs_P_OD	all	MF	GO:0008307	MF: structural constituent of muscle	0.000746298205690059	0.00746298205690059	0.00589182793965836	5	5.58518518518518	7.46e-03	5.59
ORA	P_surface_x_pigmentation	all	BP	GO:0019915	BP: lipid storage	6.25157104257496e-07	5.12628825491146e-05	1.38192623046394e-05	3	158.397321428571	5.13e-05	158.40
ORA	P_surface_x_pigmentation	all	MF	GO:0004993	MF: G protein-coupled serotonin receptor activity	0.00612633753797787	0.0272340034166322	0.00597236917031408	1	139.583333333333	2.72e-02	139.58
ORA	P_surface_x_pigmentation	all	MF	GO:0008374	MF: O-acyltransferase activity	0.0066354506579962	0.0272340034166322	0.00597236917031408	1	128.846153846154	2.72e-02	128.85
ORA	P_surface_x_pigmentation	all	MF	GO:0030371	MF: translation repressor activity	0.0066354506579962	0.0272340034166322	0.00597236917031408	1	128.846153846154	2.72e-02	128.85
ORA	P_surface_x_pigmentation	all	MF	GO:0031489	MF: myosin V binding	0.0066354506579962	0.0272340034166322	0.00597236917031408	1	128.846153846154	2.72e-02	128.85
ORA	P_OL_vs_N_OD	all	MF	GO:0004252	MF: serine-type endopeptidase activity	0.0198310738552201	0.0953169265004695	0.0536668129623206	2	8.8	9.53e-02	8.80
ORA	P_OL_vs_N_OD	all	MF	GO:0008271	MF: secondary active sulfate transmembrane transporter activity	0.0211940677477207	0.0953169265004695	0.0536668129623206	1	44.88	9.53e-02	44.88
ORA	P_OL_vs_N_OD	all	MF	GO:0016831	MF: carboxy-lyase activity	0.0211940677477207	0.0953169265004695	0.0536668129623206	1	44.88	9.53e-02	44.88
ORA	P_OL_vs_N_OD	all	MF	GO:0019531	MF: oxalate transmembrane transporter activity	0.0211940677477207	0.0953169265004695	0.0536668129623206	1	44.88	9.53e-02	44.88
ORA	P_OL_vs_N_OD	all	MF	GO:0004869	MF: cysteine-type endopeptidase inhibitor activity	0.0232896379862627	0.0953169265004695	0.0536668129623206	1	40.8	9.53e-02	40.80
ORA	P_BD_vs_N_BL	all	CC	GO:0030018	CC: Z disc	1.60890622927828e-15	3.15345620938544e-13	2.81135193747574e-13	22	8.25943872400565	3.15e-13	8.26
ORA	P_BD_vs_N_BL	all	CC	GO:0042383	CC: sarcolemma	1.02594038198103e-08	1.00542157434141e-06	8.96347912678165e-07	11	8.88939591481964	1.01e-06	8.89
ORA	P_BD_vs_N_BL	all	BP	GO:0007519	BP: skeletal muscle tissue development	5.93347356940901e-09	4.31956875852976e-06	4.00353321893808e-06	14	6.45641025641026	4.32e-06	6.46
ORA	P_BD_vs_N_BL	all	BP	GO:0045214	BP: sarcomere organization	7.47640993135752e-08	2.71576578079188e-05	2.51707036652342e-05	12	6.45641025641026	2.72e-05	6.46
ORA	P_BD_vs_N_BL	all	BP	GO:0006936	BP: muscle contraction	1.11913425032633e-07	2.71576578079188e-05	2.51707036652342e-05	11	7.0086032388664	2.72e-05	7.01
ORA	N_OD_vs_N_BL	down	MF	GO:0008201	MF: heparin binding	1.27049076316997e-12	9.52868072377479e-11	7.62294457901983e-11	10	-25.3669127225358	9.53e-11	-25.37
ORA	N_OD_vs_N_BL	down	CC	GO:0005576	CC: extracellular region	8.8137506647685e-12	5.55266291880415e-10	4.91714510771295e-10	14	-10.2290066725419	5.55e-10	-10.23
ORA	N_OD_vs_N_BL	down	CC	GO:0062023	CC: collagen-containing extracellular matrix	3.06923995006361e-11	9.66810584270039e-10	8.56156407123008e-10	10	-18.9967266775777	9.67e-10	-19.00
ORA	N_OD_vs_N_BL	down	BP	GO:0007155	BP: cell adhesion	4.21309925946276e-08	1.074340311163e-05	8.47054693218303e-06	9	-10.4326241134752	1.07e-05	-10.43
ORA	N_OD_vs_N_BL	down	CC	GO:0005581	CC: collagen trimer	8.32071586860933e-07	1.74735033240796e-05	1.54736119661858e-05	6	-16.648816638776	1.75e-05	-16.65
ORA	P_OD_vs_P_OL	down	CC	GO:0008305	CC: integrin complex	6.104182145107e-06	0.000470022025173239	0.000404803658043938	4	-30.0188172043011	4.70e-04	-30.02
ORA	P_OD_vs_P_OL	down	MF	GO:0001972	MF: retinoic acid binding	3.46474402040944e-05	0.0030836221781644	0.00266238224726199	3	-43.890625	3.08e-03	-43.89
ORA	P_OD_vs_P_OL	down	CC	GO:0005925	CC: focal adhesion	0.000309658122594031	0.0119218377198702	0.010267611433381	5	-7.65282346491228	1.19e-02	-7.65
ORA	P_OD_vs_P_OL	down	BP	GO:0033627	BP: cell adhesion mediated by integrin	5.9273956937349e-05	0.0131588184400915	0.0116052168319441	3	-35.45	1.32e-02	-35.45
ORA	P_OD_vs_P_OL	down	BP	GO:0032956	BP: regulation of actin cytoskeleton organization	0.000133819752235954	0.0148539924981909	0.0131002494294145	4	-13.9019607843137	1.49e-02	-13.90
ORA	P_BD_vs_P_BL	down	CC	GO:0030057	CC: desmosome	1.18295826614197e-06	7.3343412500802e-05	6.47513998309288e-05	4	-44.7754137115839	7.33e-05	-44.78
ORA	P_BD_vs_P_BL	down	BP	GO:0045104	BP: intermediate filament cytoskeleton organization	2.1216906627228e-06	0.00037129586597649	0.000310436844335231	4	-35.6891766882516	3.71e-04	-35.69
ORA	P_BD_vs_P_BL	down	BP	GO:0008544	BP: epidermis development	0.00027407593892357	0.0239816446558124	0.0200508186896717	3	-19.8592999313658	2.40e-02	-19.86
ORA	P_BD_vs_P_BL	down	MF	GO:0005198	MF: structural molecule activity	0.000321170646062538	0.0253724810389405	0.0250175029564503	4	-11.2872340425532	2.54e-02	-11.29
ORA	P_BD_vs_P_BL	down	BP	GO:0007043	BP: cell-cell junction assembly	0.000726988827160797	0.02908947569651	0.0243214262966309	3	-14.3171697179614	2.91e-02	-14.32
ORA	P_OL_vs_P_BL	down	CC	GO:0031012	CC: extracellular matrix	1.04981258995393e-07	5.03910043177884e-06	4.3097569482319e-06	8	-12.5295454545455	5.04e-06	-12.53
ORA	P_OL_vs_P_BL	down	MF	GO:0050840	MF: extracellular matrix binding	2.33124324192599e-06	0.000153862053967116	0.000132512773751583	4	-34.8213166144201	1.54e-04	-34.82
ORA	P_OL_vs_P_BL	down	CC	GO:0062023	CC: collagen-containing extracellular matrix	7.3357943184136e-06	0.000176059063641926	0.000150576830746384	6	-11.6553911205074	1.76e-04	-11.66
ORA	P_OL_vs_P_BL	down	CC	GO:0036379	CC: myofilament	1.68854533067863e-05	0.000270167252908582	0.00023106409788234	3	-53.6980519480519	2.70e-04	-53.70
ORA	P_OL_vs_P_BL	down	BP	GO:0055010	BP: ventricular cardiac muscle tissue morphogenesis	4.51001577972194e-06	0.000734061920606556	0.000594976504070577	4	-32.8768328445748	7.34e-04	-32.88
ORA	P_OL_vs_N_OD	down	MF	GO:0004252	MF: serine-type endopeptidase activity	0.0182855739413945	0.0900427347565583	0.0521300043327443	2	-9.16666666666667	9.00e-02	-9.17
ORA	P_OL_vs_N_OD	down	MF	GO:0008271	MF: secondary active sulfate transmembrane transporter activity	0.0203191183133301	0.0900427347565583	0.0521300043327443	1	-46.75	9.00e-02	-46.75
ORA	P_OL_vs_N_OD	down	MF	GO:0016831	MF: carboxy-lyase activity	0.0203191183133301	0.0900427347565583	0.0521300043327443	1	-46.75	9.00e-02	-46.75
ORA	P_OL_vs_N_OD	down	MF	GO:0019531	MF: oxalate transmembrane transporter activity	0.0203191183133301	0.0900427347565583	0.0521300043327443	1	-46.75	9.00e-02	-46.75
ORA	P_OL_vs_N_OD	down	MF	GO:0004869	MF: cysteine-type endopeptidase inhibitor activity	0.022329168293597	0.0900427347565583	0.0521300043327443	1	-42.5	9.00e-02	-42.50
ORA	P_BD_vs_N_BL	down	BP	GO:0006955	BP: immune response	0.000102234307711752	0.0139038658487982	0.00936251028518147	4	-12.4005471956224	1.39e-02	-12.40
ORA	P_BD_vs_N_BL	down	BP	GO:0019882	BP: antigen processing and presentation	0.000732318467641863	0.0497976557996467	0.0335324772025485	2	-37.6445182724252	4.98e-02	-37.64
ORA	P_BD_vs_N_BL	down	MF	GO:0008009	MF: chemokine activity	0.00104219556481208	0.0687849072775973	0.0559494461109643	2	-37.2990033222591	6.88e-02	-37.30
ORA	P_BD_vs_N_BL	down	BP	GO:0071347	BP: cellular response to interleukin-1	0.0031792671814818	0.126633563149338	0.0852718265788887	2	-18.1732157177225	1.27e-01	-18.17
ORA	P_BD_vs_N_BL	down	BP	GO:0006954	BP: inflammatory response	0.00434397573833317	0.126633563149338	0.0852718265788887	3	-6.93451652386781	1.27e-01	-6.93
GSEA	N_OD_vs_N_BL	NES_negative	CC	GO:0062023	CC: collagen-containing extracellular matrix	1.90474913359261e-26	4.79044407098541e-24	4.13029812126398e-24	130	-3.01138025464727	4.79e-24	-3.01
GSEA	N_OD_vs_N_BL	NES_negative	CC	GO:0005576	CC: extracellular region	1.85629945229419e-16	3.11239541501326e-14	2.68349254156213e-14	338	-2.24728574741379	3.11e-14	-2.25
GSEA	N_OD_vs_N_BL	NES_negative	MF	GO:0008201	MF: heparin binding	1.12475615826859e-15	8.95305901981799e-13	7.67202095324261e-13	98	-2.70026086068901	8.95e-13	-2.70
GSEA	N_OD_vs_N_BL	NES_negative	MF	GO:0005509	MF: calcium ion binding	3.49716339892742e-13	1.27404772618835e-10	1.09175208485857e-10	477	-1.95936033885977	1.27e-10	-1.96
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0030199	BP: collagen fibril organization	1.24657770002386e-12	1.32885092690073e-09	1.10946697102774e-09	61	-2.71976321461375	1.33e-09	-2.72
GSEA	P_OD_vs_P_OL	NES_negative	CC	GO:0030057	CC: desmosome	4.31414267555146e-08	2.11392991102021e-06	1.82556353218072e-06	20	-2.31100516417296	2.11e-06	-2.31
GSEA	P_OD_vs_P_OL	NES_negative	BP	GO:0035556	BP: intracellular signal transduction	8.90676096086376e-08	2.9481378780459e-05	2.65729530020356e-05	381	-1.78711799607466	2.95e-05	-1.79
GSEA	P_OD_vs_P_OL	NES_negative	CC	GO:0005911	CC: cell-cell junction	7.72870552199994e-07	3.15588808814997e-05	2.72538563144208e-05	156	-1.94166822551254	3.16e-05	-1.94
GSEA	P_OD_vs_P_OL	NES_negative	MF	GO:0004674	MF: protein serine/threonine kinase activity	5.15436546665069e-07	7.95834028050866e-05	7.2052603575917e-05	342	-1.72698121442144	7.96e-05	-1.73
GSEA	P_OD_vs_P_OL	NES_negative	CC	GO:0016324	CC: apical plasma membrane	3.32599784293688e-06	0.000116409924502791	0.00010053016036546	128	-1.92924140315872	1.16e-04	-1.93
GSEA	P_BD_vs_P_BL	NES_negative	CC	GO:0030057	CC: desmosome	1.32340852389212e-07	8.60215540529879e-06	7.64193794247481e-06	18	-2.39446255964592	8.60e-06	-2.39
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0008544	BP: epidermis development	3.10012954730425e-08	8.81765418383252e-06	7.94379059940819e-06	31	-2.38896775329221	8.82e-06	-2.39
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0042981	BP: regulation of apoptotic process	9.17011319122713e-07	0.000140443810490255	0.000126525286460332	114	-1.9895710665112	1.40e-04	-1.99
GSEA	P_BD_vs_P_BL	NES_negative	CC	GO:0005923	CC: bicellular tight junction	2.91001301538007e-05	0.00101850455538303	0.000904813763486598	70	-1.98242527011709	1.02e-03	-1.98
GSEA	P_BD_vs_P_BL	NES_negative	BP	GO:0042742	BP: defense response to bacterium	1.21906412229163e-05	0.00127745087762243	0.00115085056198611	35	-2.11398434925213	1.28e-03	-2.11
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0030018	CC: Z disc	8.50655371994405e-24	4.13418510789281e-21	3.63543243189188e-21	127	-2.90673740927546	4.13e-21	-2.91
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0045214	BP: sarcomere organization	1.45012379533256e-20	3.31933336751622e-17	2.99946658718787e-17	90	-2.90656274064105	3.32e-17	-2.91
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0005739	CC: mitochondrion	1.10775758930227e-16	2.69185094200452e-14	2.36710305924591e-14	446	-2.17957347316421	2.69e-14	-2.18
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0006936	BP: muscle contraction	3.18993653894761e-16	3.65088236882554e-13	3.29906594685897e-13	79	-2.78852266434492	3.65e-13	-2.79
GSEA	P_OL_vs_P_BL	NES_negative	CC	GO:0031430	CC: M band	1.2778561127231e-14	2.07012690261142e-12	1.82038449742308e-12	39	-2.79726615573325	2.07e-12	-2.80
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0005747	CC: mitochondrial respiratory chain complex I	0.000324718174335696	0.00703556044394007	0.00569681007606484	12	-2.09617053859645	7.04e-03	-2.10
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0015986	BP: ATP synthesis coupled proton transport	0.00119317477661292	0.0102214470918934	0.00747181804962967	11	-1.97747536112864	1.02e-02	-1.98
GSEA	P_BD_vs_P_OD	NES_negative	MF	GO:0046933	MF: proton-transporting ATP synthase activity, rotational mechanism	0.00256166187306186	0.0245919539813938	0.0210325922209289	10	-1.85258304969968	2.46e-02	-1.85
GSEA	P_BD_vs_P_OD	NES_negative	BP	GO:0042776	BP: mitochondrial ATP synthesis coupled proton transport	0.00464571350296283	0.025730105554871	0.0188085566921572	10	-1.77755374033978	2.57e-02	-1.78
GSEA	P_BD_vs_P_OD	NES_negative	CC	GO:0005576	CC: extracellular region	0.0062983552990979	0.0682321824068939	0.0552487306938412	20	-1.74091956261554	6.82e-02	-1.74
GSEA	P_surface_x_pigmentation	NES_negative	CC	GO:0005739	CC: mitochondrion	6.24197521165749e-31	3.13971353146372e-28	2.82531509580287e-28	460	-2.55237831834848	3.14e-28	-2.55
GSEA	P_surface_x_pigmentation	NES_negative	CC	GO:0005743	CC: mitochondrial inner membrane	1.39730067514945e-10	3.51421119800086e-08	3.16231205428559e-08	84	-2.41154161177381	3.51e-08	-2.41
GSEA	P_surface_x_pigmentation	NES_negative	MF	GO:0003735	MF: structural constituent of ribosome	9.65372687818737e-11	7.66505914128077e-08	7.07262516549306e-08	161	-2.21198572524007	7.67e-08	-2.21
GSEA	P_surface_x_pigmentation	NES_negative	CC	GO:0005747	CC: mitochondrial respiratory chain complex I	1.48714933937013e-09	2.49345372567724e-07	2.24376917869879e-07	45	-2.49013980713783	2.49e-07	-2.49
GSEA	P_surface_x_pigmentation	NES_negative	BP	GO:0032981	BP: mitochondrial respiratory chain complex I assembly	1.23027067772987e-10	2.9280442129971e-07	2.69105522981334e-07	34	-2.62523921469327	2.93e-07	-2.63
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0045087	BP: innate immune response	6.15904134140093e-09	2.34043570973235e-06	1.95684629285563e-06	104	-2.18771629856415	2.34e-06	-2.19
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0006511	BP: ubiquitin-dependent protein catabolic process	2.91878084828053e-06	0.0002893400145252	0.000241918174656111	247	-1.74548219923709	2.89e-04	-1.75
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0004842	MF: ubiquitin-protein transferase activity	1.91639223631257e-06	0.000297424075075711	0.000270312168069352	213	-1.80168506142784	2.97e-04	-1.80
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0016579	BP: protein deubiquitination	3.44784315480354e-06	0.000327545099706337	0.000273861576901281	96	-1.99700764816156	3.28e-04	-2.00
GSEA	P_OL_vs_N_OD	NES_negative	CC	GO:0005770	CC: late endosome	4.34607763566528e-06	0.000427654039349464	0.000393434396491805	104	-1.97370488805268	4.28e-04	-1.97
GSEA	P_BD_vs_N_BL	NES_negative	CC	GO:0005764	CC: lysosome	5.29992166889592e-10	3.26607672845711e-08	2.55930427958526e-08	185	-2.18232012865386	3.27e-08	-2.18
GSEA	P_BD_vs_N_BL	NES_negative	BP	GO:0035556	BP: intracellular signal transduction	2.63107578918901e-09	3.76901606801326e-07	3.33038803842083e-07	384	-1.89786575617305	3.77e-07	-1.90
GSEA	P_BD_vs_N_BL	NES_negative	BP	GO:0006955	BP: immune response	7.41335061773115e-08	9.43966645324434e-06	8.34110326813728e-06	85	-2.26568200775959	9.44e-06	-2.27
GSEA	P_BD_vs_N_BL	NES_negative	MF	GO:0004842	MF: ubiquitin-protein transferase activity	7.29726627051813e-08	1.40289944050711e-05	1.21941160046816e-05	215	-2.00176068437857	1.40e-05	-2.00
GSEA	P_BD_vs_N_BL	NES_negative	BP	GO:0042981	BP: regulation of apoptotic process	2.8630458803051e-07	3.45373745139963e-05	3.05180070565486e-05	136	-2.06279482952989	3.45e-05	-2.06
GSEA	N_OD_vs_N_BL	NES_positive	CC	GO:0005739	CC: mitochondrion	1.46525646481362e-33	7.37024001801253e-31	6.35458593161277e-31	459	2.60205200459289	7.37e-31	2.60
GSEA	N_OD_vs_N_BL	NES_positive	CC	GO:0005743	CC: mitochondrial inner membrane	6.05482301453175e-13	7.61393994077367e-11	6.56470284733442e-11	82	2.63986806629285	7.61e-11	2.64
GSEA	N_OD_vs_N_BL	NES_positive	MF	GO:0003735	MF: structural constituent of ribosome	4.80168741025761e-13	1.27404772618835e-10	1.09175208485857e-10	161	2.39619843567569	1.27e-10	2.40
GSEA	N_OD_vs_N_BL	NES_positive	BP	GO:0006412	BP: translation	1.68279982300641e-12	1.32885092690073e-09	1.10946697102774e-09	158	2.34449761837495	1.33e-09	2.34
GSEA	N_OD_vs_N_BL	NES_positive	CC	GO:0005840	CC: ribosome	8.9989875840315e-11	7.54415125794641e-09	6.50453137652803e-09	165	2.22937336724209	7.54e-09	2.23
GSEA	P_OD_vs_P_OL	NES_positive	CC	GO:0005739	CC: mitochondrion	6.39092990958944e-38	3.13155565569882e-35	2.70437244595258e-35	449	2.75844727814739	3.13e-35	2.76
GSEA	P_OD_vs_P_OL	NES_positive	MF	GO:0003735	MF: structural constituent of ribosome	8.9537673589234e-18	6.91230840108887e-15	6.25821213297383e-15	159	2.66853733458821	6.91e-15	2.67
GSEA	P_OD_vs_P_OL	NES_positive	CC	GO:0005840	CC: ribosome	5.4688609673016e-15	1.33987093698889e-12	1.15709584676592e-12	158	2.48686881166516	1.34e-12	2.49
GSEA	P_OD_vs_P_OL	NES_positive	CC	GO:0005743	CC: mitochondrial inner membrane	1.83072788020533e-13	2.99018887100203e-11	2.58228985207909e-11	80	2.62344536811041	2.99e-11	2.62
GSEA	P_OD_vs_P_OL	NES_positive	BP	GO:0006412	BP: translation	2.12769560844176e-14	4.92987072475955e-11	4.44352430226152e-11	156	2.50202556348625	4.93e-11	2.50
GSEA	P_BD_vs_P_BL	NES_positive	CC	GO:0030018	CC: Z disc	1.42577475845526e-25	6.48727515097143e-23	5.76313165522968e-23	115	3.14150311464831	6.49e-23	3.14
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0006936	BP: muscle contraction	7.7819544631489e-15	1.54938713361295e-11	1.3958368847585e-11	70	2.88044949645227	1.55e-11	2.88
GSEA	P_BD_vs_P_BL	NES_positive	BP	GO:0045214	BP: sarcomere organization	6.0684474861284e-13	6.04113947244083e-10	5.44243921913832e-10	82	2.68822913962714	6.04e-10	2.69
GSEA	P_BD_vs_P_BL	NES_positive	CC	GO:0031430	CC: M band	6.93522934367829e-12	1.57776467568681e-09	1.40164635156445e-09	34	2.79266340739143	1.58e-09	2.79
GSEA	P_BD_vs_P_BL	NES_positive	MF	GO:0051371	MF: muscle alpha-actinin binding	4.63104928788008e-12	3.12595826931905e-09	2.8858749246579e-09	32	2.74097696310628	3.13e-09	2.74
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0035115	BP: embryonic forelimb morphogenesis	2.54318360419919e-08	4.15810519286567e-06	3.75741036259504e-06	40	2.40532260499303	4.16e-06	2.41
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0030182	BP: neuron differentiation	4.87233424473534e-08	6.56045475658775e-06	5.92825807486374e-06	106	2.1402035535243	6.56e-06	2.14
GSEA	P_OL_vs_P_BL	NES_positive	CC	GO:0005887	CC: integral component of plasma membrane	1.10806697719999e-07	7.69315072741706e-06	6.76504049237888e-06	409	1.68459672726807	7.69e-06	1.68
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0098609	BP: cell-cell adhesion	2.95567377890231e-07	3.5608090946881e-05	3.21767256262773e-05	82	2.12761121593715	3.56e-05	2.13
GSEA	P_OL_vs_P_BL	NES_positive	CC	GO:0009986	CC: cell surface	6.19897188972451e-06	0.000251058361533842	0.000220770402388434	257	1.69324479078503	2.51e-04	1.69
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0030018	CC: Z disc	6.20447528505965e-08	4.03290893528877e-06	3.26551330792613e-06	39	1.83740666067435	4.03e-06	1.84
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0007015	BP: actin filament organization	2.10280920408056e-05	0.001514022626938	0.00110674168635819	23	1.75844608106057	1.51e-03	1.76
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0045214	BP: sarcomere organization	6.51232151695159e-05	0.00234443574610257	0.00171376882025042	35	1.70418825473282	2.34e-03	1.70
GSEA	P_BD_vs_P_OD	NES_positive	CC	GO:0030017	CC: sarcomere	0.000197519521843806	0.0064193844599237	0.00519788215378437	20	1.70931219002654	6.42e-03	1.71
GSEA	P_BD_vs_P_OD	NES_positive	BP	GO:0055003	BP: cardiac myofibril assembly	0.000535547242635193	0.00963985036743348	0.00704667424519991	19	1.66669429287498	9.64e-03	1.67
GSEA	P_surface_x_pigmentation	NES_positive	BP	GO:0007275	BP: multicellular organism development	1.46271921546605e-07	0.00011604239109364	0.00010665019402591	234	1.88013267707049	1.16e-04	1.88
GSEA	P_surface_x_pigmentation	NES_positive	CC	GO:0005576	CC: extracellular region	5.38091409432175e-06	0.000386657112777692	0.000347938806099001	339	1.62984290421856	3.87e-04	1.63
GSEA	P_surface_x_pigmentation	NES_positive	MF	GO:0005102	MF: signaling receptor binding	1.2089963306111e-05	0.00191988617301043	0.00177149778127437	179	1.78836049606673	1.92e-03	1.79
GSEA	P_surface_x_pigmentation	NES_positive	CC	GO:0005887	CC: integral component of plasma membrane	3.88337343998545e-05	0.00217037426701409	0.0019530416130921	452	1.48625630853468	2.17e-03	1.49
GSEA	P_surface_x_pigmentation	NES_positive	MF	GO:0005509	MF: calcium ion binding	2.33926737477054e-05	0.00275285704613666	0.00254008816665931	475	1.49346657611545	2.75e-03	1.49
GSEA	P_OL_vs_N_OD	NES_positive	CC	GO:0062023	CC: collagen-containing extracellular matrix	1.08825044481541e-11	5.3541921884918e-09	4.92576517126973e-09	126	2.41391705387824	5.35e-09	2.41
GSEA	P_OL_vs_N_OD	NES_positive	MF	GO:0005509	MF: calcium ion binding	2.64325339043376e-11	2.0511646309766e-08	1.86418923325328e-08	447	1.82955430235432	2.05e-08	1.83
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0010718	BP: positive regulation of epithelial to mesenchymal transition	4.59654816764819e-11	1.04801298222379e-07	8.76247234906408e-08	46	2.67827452501872	1.05e-07	2.68
