source	destination	artifact_type	description	status	action	exported_at	analysis_root	quarto_dir
results/04_differential_expression/contrasts/N_OD_vs_N_BL/figures/volcano_N_OD_vs_N_BL.png	figures/05_de/contrasts/N_OD_vs_N_BL/volcano_N_OD_vs_N_BL.png	figure	volcano figure N_OD_vs_N_BL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/N_OD_vs_N_BL/figures/ma_N_OD_vs_N_BL.png	figures/05_de/contrasts/N_OD_vs_N_BL/ma_N_OD_vs_N_BL.png	figure	ma figure N_OD_vs_N_BL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/N_OD_vs_N_BL/figures/heatmap_N_OD_vs_N_BL.png	figures/05_de/contrasts/N_OD_vs_N_BL/heatmap_N_OD_vs_N_BL.png	figure	heatmap figure N_OD_vs_N_BL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_OD_vs_P_OL/tables/deg_P_OD_vs_P_OL_significant_annotated.tsv	tables/05_de/by_contrast/P_OD_vs_P_OL_significant_annotated.tsv	table	Significant annotated DEG table P_OD_vs_P_OL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_OD_vs_P_OL/figures/volcano_P_OD_vs_P_OL.png	figures/05_de/contrasts/P_OD_vs_P_OL/volcano_P_OD_vs_P_OL.png	figure	volcano figure P_OD_vs_P_OL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_OD_vs_P_OL/figures/ma_P_OD_vs_P_OL.png	figures/05_de/contrasts/P_OD_vs_P_OL/ma_P_OD_vs_P_OL.png	figure	ma figure P_OD_vs_P_OL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_OD_vs_P_OL/figures/heatmap_P_OD_vs_P_OL.png	figures/05_de/contrasts/P_OD_vs_P_OL/heatmap_P_OD_vs_P_OL.png	figure	heatmap figure P_OD_vs_P_OL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_BD_vs_P_BL/tables/deg_P_BD_vs_P_BL_significant_annotated.tsv	tables/05_de/by_contrast/P_BD_vs_P_BL_significant_annotated.tsv	table	Significant annotated DEG table P_BD_vs_P_BL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_BD_vs_P_BL/figures/volcano_P_BD_vs_P_BL.png	figures/05_de/contrasts/P_BD_vs_P_BL/volcano_P_BD_vs_P_BL.png	figure	volcano figure P_BD_vs_P_BL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_BD_vs_P_BL/figures/ma_P_BD_vs_P_BL.png	figures/05_de/contrasts/P_BD_vs_P_BL/ma_P_BD_vs_P_BL.png	figure	ma figure P_BD_vs_P_BL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_BD_vs_P_BL/figures/heatmap_P_BD_vs_P_BL.png	figures/05_de/contrasts/P_BD_vs_P_BL/heatmap_P_BD_vs_P_BL.png	figure	heatmap figure P_BD_vs_P_BL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_OL_vs_P_BL/tables/deg_P_OL_vs_P_BL_significant_annotated.tsv	tables/05_de/by_contrast/P_OL_vs_P_BL_significant_annotated.tsv	table	Significant annotated DEG table P_OL_vs_P_BL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_OL_vs_P_BL/figures/volcano_P_OL_vs_P_BL.png	figures/05_de/contrasts/P_OL_vs_P_BL/volcano_P_OL_vs_P_BL.png	figure	volcano figure P_OL_vs_P_BL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
results/04_differential_expression/contrasts/P_OL_vs_P_BL/figures/ma_P_OL_vs_P_BL.png	figures/05_de/contrasts/P_OL_vs_P_BL/ma_P_OL_vs_P_BL.png	figure	ma figure P_OL_vs_P_BL	ok	copied	2026-07-01 10:01:48 CEST	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/holofish_rnaseq/analysis	/mnt/lustre/scratch/nlsas/home/otras/pia/dci/github_repositories/Transcriptomics
