Sample	-247.5	-242.5	-237.5	-232.5	-227.5	-222.5	-217.5	-212.5	-207.5	-202.5	-197.5	-192.5	-187.5	-182.5	-177.5	-172.5	-167.5	-162.5	-157.5	-152.5	-147.5	-142.5	-137.5	-132.5	-127.5	-122.5	-117.5	-112.5	-107.5	-102.5	-97.5	-92.5	-87.5	-82.5	-77.5	-72.5	-67.5	-62.5	-57.5	-52.5	-47.5	-42.5	-37.5	-32.5	-27.5	-22.5	-17.5	-12.5	-7.5	-2.5	2.5	7.5	12.5	17.5	22.5	27.5	32.5	37.5	42.5	47.5	52.5	57.5	62.5	67.5	72.5	77.5	82.5	87.5	92.5	97.5	102.5	107.5	112.5	117.5	122.5	127.5	132.5	137.5	142.5	147.5	152.5	157.5	162.5	167.5	172.5	177.5	182.5	187.5	192.5	197.5	202.5	207.5	212.5	217.5	222.5	227.5	232.5	237.5	242.5	247.5
P41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	914.0	10431.0	10797.0	11171.0	11605.0	11866.0	12632.0	13256.0	14105.0	15004.0	16328.0	17279.0	18698.0	20237.0	21732.0	23435.0	25076.0	26956.0	28445.0	30186.0	31459.0	32477.0	33675.0	34513.0	34439.0	34475.0	34369.0	33898.0	32635.0	31902.0	31777.0	29418.0	26615.0	24944.0	23137.0	20946.0	19295.0	17110.0	15589.0	13752.0	12379.0	10911.0	9704.0	8566.0	7462.0	6409.0	5688.0	5122.0	4486.0	3813.0	3346.0	2929.0	2557.0	2197.0	1881.0	1676.0	1508.0	1285.0	1078.0	929.0	859.0	718.0	606.0	573.0	515.0	459.0	393.0	330.0	326.0	283.0	265.0	218.0	195.0	191.0	163.0	153.0	137.0	122.0	115.0	97.0	102.0
P42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1021.0	10156.0	10720.0	10934.0	11675.0	12152.0	12812.0	13587.0	14854.0	16132.0	17152.0	18627.0	20354.0	22102.0	23635.0	25514.0	27213.0	29554.0	30887.0	32233.0	34251.0	35177.0	35710.0	36073.0	35780.0	35584.0	34769.0	34361.0	32400.0	30988.0	30751.0	28121.0	25246.0	23311.0	21241.0	19017.0	17289.0	15402.0	13864.0	11996.0	10662.0	9341.0	8389.0	7118.0	6313.0	5457.0	4823.0	4063.0	3577.0	3155.0	2608.0	2229.0	2049.0	1703.0	1551.0	1338.0	1124.0	1023.0	943.0	773.0	667.0	579.0	529.0	497.0	396.0	367.0	320.0	306.0	291.0	239.0	224.0	179.0	193.0	165.0	146.0	149.0	147.0	104.0	90.0	91.0	83.0
P43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1104.0	11671.0	12669.0	12835.0	13489.0	13817.0	15103.0	15591.0	17137.0	17995.0	19348.0	20797.0	22353.0	24049.0	25798.0	27874.0	29386.0	30824.0	32302.0	33809.0	34624.0	35304.0	35538.0	35793.0	35276.0	34630.0	33707.0	32674.0	30447.0	29507.0	28457.0	25619.0	23614.0	21238.0	19125.0	17233.0	15420.0	13517.0	12205.0	10542.0	9534.0	8130.0	7032.0	6173.0	5397.0	4714.0	4161.0	3663.0	3222.0	2726.0	2274.0	1978.0	1705.0	1482.0	1335.0	1109.0	982.0	900.0	765.0	728.0	665.0	563.0	523.0	474.0	438.0	369.0	384.0	337.0	267.0	284.0	211.0	248.0	239.0	166.0	157.0	123.0	133.0	119.0	116.0	94.0	83.0
P44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1114.0	11764.0	12615.0	12760.0	13170.0	13622.0	14466.0	14863.0	15958.0	16802.0	18231.0	19415.0	20715.0	21680.0	23404.0	24903.0	26951.0	28670.0	29954.0	31419.0	32456.0	33343.0	34258.0	34677.0	34479.0	33920.0	33355.0	32451.0	31276.0	30256.0	30329.0	27461.0	24749.0	22812.0	20814.0	18905.0	17063.0	15236.0	13920.0	12176.0	10738.0	9539.0	8506.0	7327.0	6500.0	5592.0	4918.0	4278.0	3691.0	3220.0	2800.0	2340.0	2105.0	1779.0	1665.0	1409.0	1180.0	1038.0	915.0	872.0	728.0	659.0	555.0	547.0	492.0	414.0	393.0	335.0	322.0	277.0	259.0	238.0	209.0	209.0	200.0	179.0	179.0	158.0	138.0	123.0	110.0
P45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	966.0	11333.0	11819.0	12381.0	13019.0	13575.0	14532.0	15508.0	16859.0	17820.0	19662.0	21006.0	22767.0	24760.0	26599.0	28629.0	30494.0	32308.0	34191.0	35285.0	36544.0	37384.0	37289.0	37257.0	36278.0	35959.0	34375.0	33193.0	31236.0	29543.0	28365.0	25388.0	22963.0	20605.0	18486.0	16414.0	14743.0	12723.0	11159.0	9645.0	8407.0	7412.0	6338.0	5447.0	4658.0	3946.0	3355.0	2914.0	2551.0	2190.0	1862.0	1562.0	1386.0	1176.0	1000.0	923.0	759.0	656.0	630.0	540.0	462.0	399.0	343.0	319.0	327.0	258.0	239.0	201.0	238.0	192.0	170.0	196.0	142.0	122.0	118.0	101.0	88.0	87.0	86.0	75.0	55.0
P46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	978.0	10192.0	10824.0	11229.0	11612.0	12316.0	13158.0	14019.0	14962.0	15973.0	17573.0	18781.0	20545.0	21810.0	23684.0	26026.0	27609.0	29528.0	31425.0	32769.0	34349.0	35330.0	35549.0	36143.0	36234.0	36098.0	34901.0	34268.0	32376.0	31272.0	30579.0	27564.0	25155.0	23181.0	21003.0	18939.0	16658.0	14956.0	13274.0	11741.0	10345.0	8957.0	7901.0	6853.0	6071.0	5235.0	4512.0	3944.0	3420.0	2893.0	2407.0	2159.0	1791.0	1664.0	1386.0	1268.0	1047.0	893.0	828.0	734.0	646.0	575.0	481.0	456.0	416.0	411.0	341.0	303.0	270.0	250.0	214.0	209.0	196.0	193.0	170.0	130.0	149.0	117.0	127.0	88.0	85.0
P47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1054.0	11099.0	11857.0	12117.0	12602.0	13240.0	14102.0	14902.0	15892.0	17228.0	18449.0	19793.0	21080.0	22737.0	24601.0	26348.0	28299.0	29895.0	31703.0	33299.0	34128.0	34950.0	35557.0	35512.0	35620.0	35219.0	34261.0	33101.0	31585.0	30559.0	29448.0	26685.0	24377.0	22288.0	19974.0	18260.0	16230.0	14433.0	12871.0	11400.0	10035.0	8793.0	7726.0	6716.0	5761.0	5039.0	4470.0	3827.0	3261.0	2849.0	2515.0	2179.0	1865.0	1688.0	1421.0	1308.0	1088.0	947.0	805.0	732.0	677.0	625.0	568.0	476.0	435.0	457.0	416.0	391.0	323.0	263.0	276.0	240.0	232.0	179.0	187.0	162.0	152.0	136.0	110.0	103.0	91.0
P48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1015.0	10861.0	11627.0	12416.0	12599.0	13191.0	14044.0	14770.0	15908.0	17032.0	18365.0	19742.0	20996.0	22888.0	24656.0	26487.0	28382.0	29989.0	31782.0	32920.0	34308.0	35072.0	35502.0	35826.0	35908.0	35401.0	34405.0	33668.0	31849.0	30366.0	29954.0	27152.0	24476.0	22597.0	19907.0	18127.0	16450.0	14543.0	12888.0	11306.0	9947.0	8621.0	7594.0	6646.0	5704.0	5050.0	4313.0	3791.0	3146.0	2746.0	2314.0	2117.0	1719.0	1508.0	1346.0	1110.0	962.0	888.0	840.0	658.0	597.0	520.0	456.0	394.0	371.0	332.0	292.0	277.0	223.0	232.0	199.0	181.0	150.0	158.0	125.0	116.0	108.0	92.0	105.0	83.0	72.0
P49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1085.0	11406.0	12321.0	12771.0	13387.0	13752.0	14651.0	15477.0	16569.0	17603.0	18683.0	20202.0	22020.0	23401.0	25293.0	26721.0	28762.0	30131.0	31871.0	33538.0	34655.0	35399.0	35605.0	35897.0	35552.0	35137.0	34410.0	33299.0	31424.0	29924.0	29098.0	26428.0	23987.0	21987.0	19914.0	17519.0	15725.0	13790.0	12278.0	10813.0	9472.0	8073.0	7184.0	6232.0	5410.0	4609.0	4045.0	3487.0	3020.0	2589.0	2243.0	1907.0	1577.0	1467.0	1327.0	1126.0	958.0	868.0	773.0	665.0	594.0	594.0	482.0	429.0	415.0	376.0	350.0	325.0	259.0	227.0	244.0	208.0	194.0	174.0	153.0	138.0	129.0	101.0	108.0	106.0	75.0
P50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	888.0	9067.0	9752.0	9806.0	10400.0	10897.0	11576.0	12377.0	13189.0	14339.0	15683.0	17177.0	18616.0	20198.0	22021.0	23924.0	26047.0	27930.0	29943.0	31782.0	33466.0	34525.0	35310.0	36191.0	36280.0	36454.0	36060.0	35390.0	33852.0	32726.0	32007.0	30023.0	27272.0	24993.0	22766.0	20618.0	18529.0	16815.0	14721.0	13158.0	11635.0	10099.0	9129.0	8041.0	6904.0	5893.0	5198.0	4532.0	3862.0	3276.0	2804.0	2362.0	2117.0	1822.0	1528.0	1416.0	1228.0	1060.0	939.0	810.0	723.0	568.0	511.0	461.0	404.0	341.0	349.0	301.0	261.0	224.0	173.0	193.0	170.0	134.0	126.0	122.0	120.0	93.0	75.0	70.0	84.0
