contrast	short_label	category	category_label	n_terms	n_positive	n_negative	dominant_effect	dominant_term	dominant_padj	top_positive_term	top_positive_effect	top_positive_padj	top_negative_term	top_negative_effect	top_negative_padj	dominant_effect_fmt	dominant_padj_fmt
P_OD_vs_P_OL	P_OD vs P_OL	matriz_adhesion	Matriz extracelular/adhesion	7	4	3	-2.14020977353539	BP: cell-cell adhesion	0.00012626782827687	CC: collagen-containing extracellular matrix	1.95	1.13e-04	BP: cell-cell adhesion	-2.14	1.26e-04	-2.14	1.26e-04
P_OD_vs_P_OL	P_OD vs P_OL	epidermis_epitelio	Epidermis/epitelio	7	0	7	-2.31100516417296	CC: desmosome	2.11392991102021e-06				CC: desmosome	-2.31	2.11e-06	-2.31	2.11e-06
P_OD_vs_P_OL	P_OD vs P_OL	musculo_sarcomero	Musculo/sarcomero	30	29	1	2.47439445871822	BP: sarcomere organization	3.33025695616015e-08	CC: Z disc	2.35	4.37e-09	CC: actomyosin	-1.88	2.86e-02	2.47	3.33e-08
P_OD_vs_P_OL	P_OD vs P_OL	neural_desarrollo	Neural/axon/cresta	2	0	2	-2.06408641177614	BP: neuron differentiation	0.000215195516520742				BP: neuron differentiation	-2.06	2.15e-04	-2.06	2.15e-04
P_OD_vs_P_OL	P_OD vs P_OL	wnt_retinoides_senalizacion	Wnt/retinoides/senalizacion	3	0	3	-1.92469421231212	MF: retinoic acid binding	0.0249080566400638				MF: retinoic acid binding	-1.92	2.49e-02	-1.92	2.49e-02
P_OD_vs_P_OL	P_OD vs P_OL	lipidos	Lipidos	3	3	0	1.99867963307464	BP: fatty acid beta-oxidation using acyl-CoA dehydrogenase	0.0254063265011172	MF: aminoacyl-tRNA ligase activity	1.90	2.01e-02				2.00	2.54e-02
P_OD_vs_P_OL	P_OD vs P_OL	mitocondria_metabolismo	Mitocondria/metabolismo	20	20	0	2.75844727814739	CC: mitochondrion	3.13155565569882e-35	CC: mitochondrion	2.76	3.13e-35				2.76	3.13e-35
P_OD_vs_P_OL	P_OD vs P_OL	inmunidad_inflamacion	Inmunidad/inflamacion	1	0	1	-2.09423324253488	BP: regulation of inflammatory response	0.00143340210167893				BP: regulation of inflammatory response	-2.09	1.43e-03	-2.09	1.43e-03
P_OD_vs_P_OL	P_OD vs P_OL	traduccion_ribosoma	Traduccion/ribosoma	10	10	0	2.66853733458821	MF: structural constituent of ribosome	6.91230840108887e-15	MF: structural constituent of ribosome	2.67	6.91e-15				2.67	6.91e-15
P_OD_vs_P_OL	P_OD vs P_OL	desarrollo_morfogenesis	Desarrollo/morfogenesis	15	6	9	2.29412019980799	BP: skeletal muscle fiber development	8.99608184226477e-05	BP: skeletal muscle fiber development	2.29	9.00e-05	BP: keratinocyte differentiation	-2.20	1.56e-04	2.29	9.00e-05
P_BD_vs_P_BL	P_BD vs P_BL	matriz_adhesion	Matriz extracelular/adhesion	7	7	0	2.25692643114865	CC: collagen-containing extracellular matrix	3.07974688577845e-07	CC: collagen-containing extracellular matrix	2.26	3.08e-07				2.26	3.08e-07
P_BD_vs_P_BL	P_BD vs P_BL	epidermis_epitelio	Epidermis/epitelio	5	0	5	-2.39446255964592	CC: desmosome	8.60215540529879e-06				CC: desmosome	-2.39	8.60e-06	-2.39	8.60e-06
P_BD_vs_P_BL	P_BD vs P_BL	musculo_sarcomero	Musculo/sarcomero	32	32	0	3.14150311464831	CC: Z disc	6.48727515097143e-23	CC: Z disc	3.14	6.49e-23				3.14	6.49e-23
P_BD_vs_P_BL	P_BD vs P_BL	neural_desarrollo	Neural/axon/cresta	1	1	0	1.84062121903112	BP: axon guidance	0.00305315222131038	BP: axon guidance	1.84	3.05e-03				1.84	3.05e-03
P_BD_vs_P_BL	P_BD vs P_BL	lipidos	Lipidos	1	0	1	-1.8624002990473	BP: lipid transport	0.0168501659159197				BP: lipid transport	-1.86	1.69e-02	-1.86	1.69e-02
P_BD_vs_P_BL	P_BD vs P_BL	inmunidad_inflamacion	Inmunidad/inflamacion	5	0	5	-1.86019467822399	BP: negative regulation of I-kappaB kinase/NF-kappaB signaling	0.0313938092746597				BP: innate immune response	-1.81	9.93e-03	-1.86	3.14e-02
P_BD_vs_P_BL	P_BD vs P_BL	traduccion_ribosoma	Traduccion/ribosoma	2	2	0	1.59701321243971	MF: structural constituent of ribosome	0.0362201660284863	CC: ribosome	1.48	2.10e-02				1.60	3.62e-02
P_BD_vs_P_BL	P_BD vs P_BL	desarrollo_morfogenesis	Desarrollo/morfogenesis	17	15	2	2.4357883945129	BP: cardiac muscle fiber development	6.56197340743961e-05	BP: skeletal muscle tissue development	2.33	3.52e-06	BP: epidermis development	-2.39	8.82e-06	2.44	6.56e-05
P_OL_vs_P_BL	P_OL vs P_BL	matriz_adhesion	Matriz extracelular/adhesion	4	2	2	2.12761121593715	BP: cell-cell adhesion	3.5608090946881e-05	BP: cell-cell adhesion	2.13	3.56e-05	CC: collagen-containing extracellular matrix	-1.87	3.65e-04	2.13	3.56e-05
P_OL_vs_P_BL	P_OL vs P_BL	epidermis_epitelio	Epidermis/epitelio	7	7	0	2.16291752139019	BP: epidermis development	0.000517579871856197	CC: desmosome	2.11	3.65e-04				2.16	5.18e-04
P_OL_vs_P_BL	P_OL vs P_BL	musculo_sarcomero	Musculo/sarcomero	35	0	35	-2.90673740927546	CC: Z disc	4.13418510789281e-21				CC: Z disc	-2.91	4.13e-21	-2.91	4.13e-21
P_OL_vs_P_BL	P_OL vs P_BL	neural_desarrollo	Neural/axon/cresta	4	4	0	2.1402035535243	BP: neuron differentiation	6.56045475658775e-06	BP: neuron differentiation	2.14	6.56e-06				2.14	6.56e-06
P_OL_vs_P_BL	P_OL vs P_BL	wnt_retinoides_senalizacion	Wnt/retinoides/senalizacion	5	5	0	1.9628430699786	MF: retinoic acid binding	0.0324567672347221	BP: canonical Wnt signaling pathway	1.84	3.87e-03				1.96	3.25e-02
P_OL_vs_P_BL	P_OL vs P_BL	mitocondria_metabolismo	Mitocondria/metabolismo	12	0	12	-2.30289906540075	BP: ATP synthesis coupled proton transport	6.27957665160113e-05				CC: mitochondrion	-2.18	2.69e-14	-2.30	6.28e-05
P_OL_vs_P_BL	P_OL vs P_BL	traduccion_ribosoma	Traduccion/ribosoma	3	0	3	-1.88573335705634	MF: structural constituent of ribosome	0.00102114830519276				CC: ribosome	-1.79	7.22e-04	-1.89	1.02e-03
P_OL_vs_P_BL	P_OL vs P_BL	desarrollo_morfogenesis	Desarrollo/morfogenesis	21	13	8	-2.58907284148099	BP: cardiac muscle fiber development	3.32706542520477e-09	BP: embryonic forelimb morphogenesis	2.41	4.16e-06	BP: skeletal muscle tissue development	-2.51	5.74e-10	-2.59	3.33e-09
P_BD_vs_P_OD	P_BD vs P_OD	musculo_sarcomero	Musculo/sarcomero	18	18	0	1.83740666067435	CC: Z disc	4.03290893528877e-06	CC: Z disc	1.84	4.03e-06				1.84	4.03e-06
P_BD_vs_P_OD	P_BD vs P_OD	mitocondria_metabolismo	Mitocondria/metabolismo	3	0	3	-2.09617053859645	CC: mitochondrial respiratory chain complex I	0.00703556044394007				CC: mitochondrial respiratory chain complex I	-2.10	7.04e-03	-2.10	7.04e-03
P_BD_vs_P_OD	P_BD vs P_OD	desarrollo_morfogenesis	Desarrollo/morfogenesis	3	3	0	1.63626301235368	BP: skeletal muscle fiber development	0.0119486933350122	BP: cardiac muscle tissue morphogenesis	1.63	1.02e-02				1.64	1.19e-02
P_surface_x_pigmentation	Surface x pigment	pigmentacion_melanocito	Pigmentacion/melanocito	1	0	1	-2.04727994206089	BP: tetrahydrobiopterin biosynthetic process	0.0160418345748121				BP: tetrahydrobiopterin biosynthetic process	-2.05	1.60e-02	-2.05	1.60e-02
P_surface_x_pigmentation	Surface x pigment	matriz_adhesion	Matriz extracelular/adhesion	3	3	0	1.93079794681394	BP: cell-cell adhesion	0.00869603309218632	BP: cell-cell adhesion	1.93	8.70e-03				1.93	8.70e-03
P_surface_x_pigmentation	Surface x pigment	epidermis_epitelio	Epidermis/epitelio	1	1	0	1.60931452490497	CC: cell-cell junction	0.0185367235923492	CC: cell-cell junction	1.61	1.85e-02				1.61	1.85e-02
P_surface_x_pigmentation	Surface x pigment	musculo_sarcomero	Musculo/sarcomero	1	1	0	1.57018092573499	MF: actin filament binding	0.0345237489377558	MF: actin filament binding	1.57	3.45e-02				1.57	3.45e-02
P_surface_x_pigmentation	Surface x pigment	neural_desarrollo	Neural/axon/cresta	3	3	0	1.82792127797833	BP: retinal ganglion cell axon guidance	0.047597358733017	BP: axon guidance	1.63	3.30e-02				1.83	4.76e-02
P_surface_x_pigmentation	Surface x pigment	wnt_retinoides_senalizacion	Wnt/retinoides/senalizacion	1	1	0	1.78836049606673	MF: signaling receptor binding	0.00191988617301043	MF: signaling receptor binding	1.79	1.92e-03				1.79	1.92e-03
P_surface_x_pigmentation	Surface x pigment	lipidos	Lipidos	3	1	2	-2.18894469085972	BP: tRNA aminoacylation for protein translation	0.00198319470243262	BP: lipid storage	2.16	1.04e-02	BP: tRNA aminoacylation for protein translation	-2.19	1.98e-03	-2.19	1.98e-03
P_surface_x_pigmentation	Surface x pigment	mitocondria_metabolismo	Mitocondria/metabolismo	19	0	19	-2.62523921469327	BP: mitochondrial respiratory chain complex I assembly	2.9280442129971e-07				CC: mitochondrion	-2.55	3.14e-28	-2.63	2.93e-07
P_surface_x_pigmentation	Surface x pigment	traduccion_ribosoma	Traduccion/ribosoma	8	0	8	-2.33877092525351	CC: mitochondrial large ribosomal subunit	2.45978425197908e-06				MF: structural constituent of ribosome	-2.21	7.67e-08	-2.34	2.46e-06
P_surface_x_pigmentation	Surface x pigment	desarrollo_morfogenesis	Desarrollo/morfogenesis	11	10	1	2.19693873347549	BP: uterus development	0.0119180052999762	BP: multicellular organism development	1.88	1.16e-04	BP: mitochondrion morphogenesis	-2.11	1.37e-02	2.20	1.19e-02
P_OL_vs_N_OD	P_OL vs N_OD	matriz_adhesion	Matriz extracelular/adhesion	16	16	0	2.41391705387824	CC: collagen-containing extracellular matrix	5.3541921884918e-09	CC: collagen-containing extracellular matrix	2.41	5.35e-09				2.41	5.35e-09
P_OL_vs_N_OD	P_OL vs N_OD	epidermis_epitelio	Epidermis/epitelio	3	3	0	2.67827452501872	BP: positive regulation of epithelial to mesenchymal transition	1.04801298222379e-07	BP: positive regulation of epithelial to mesenchymal transition	2.68	1.05e-07				2.68	1.05e-07
P_OL_vs_N_OD	P_OL vs N_OD	musculo_sarcomero	Musculo/sarcomero	1	1	0	2.01396105295307	BP: ventricular cardiac muscle cell development	0.0163901639616884	BP: ventricular cardiac muscle cell development	2.01	1.64e-02				2.01	1.64e-02
P_OL_vs_N_OD	P_OL vs N_OD	neural_desarrollo	Neural/axon/cresta	10	10	0	2.04943902673318	BP: retinal ganglion cell axon guidance	0.000790770184608107	BP: axon guidance	2.01	1.28e-05				2.05	7.91e-04
P_OL_vs_N_OD	P_OL vs N_OD	wnt_retinoides_senalizacion	Wnt/retinoides/senalizacion	10	10	0	2.13871738056796	BP: regulation of Wnt signaling pathway	0.00550575354115825	BP: Wnt signaling pathway	2.09	9.33e-06				2.14	5.51e-03
P_OL_vs_N_OD	P_OL vs N_OD	lipidos	Lipidos	2	0	2	-1.97922620752086	BP: lipid oxidation	0.00647024921467902				BP: lipid oxidation	-1.98	6.47e-03	-1.98	6.47e-03
P_OL_vs_N_OD	P_OL vs N_OD	inmunidad_inflamacion	Inmunidad/inflamacion	13	0	13	-2.18771629856415	BP: innate immune response	2.34043570973235e-06				BP: innate immune response	-2.19	2.34e-06	-2.19	2.34e-06
P_OL_vs_N_OD	P_OL vs N_OD	traduccion_ribosoma	Traduccion/ribosoma	3	3	0	2.00587455445569	BP: rRNA processing	0.000472364789058665	BP: rRNA processing	2.01	4.72e-04				2.01	4.72e-04
P_OL_vs_N_OD	P_OL vs N_OD	desarrollo_morfogenesis	Desarrollo/morfogenesis	67	66	1	2.35944710714952	BP: embryonic forelimb morphogenesis	3.04563452315104e-05	BP: multicellular organism development	1.97	1.78e-06	BP: otic vesicle development	-1.81	2.19e-02	2.36	3.05e-05
P_BD_vs_N_BL	P_BD vs N_BL	matriz_adhesion	Matriz extracelular/adhesion	2	2	0	1.84959693724746	BP: collagen biosynthetic process	0.0449575710939673	CC: basement membrane	1.62	2.30e-02				1.85	4.50e-02
P_BD_vs_N_BL	P_BD vs N_BL	epidermis_epitelio	Epidermis/epitelio	6	0	6	-2.31416769197195	BP: epidermis development	0.000137366141247959				BP: epidermis development	-2.31	1.37e-04	-2.31	1.37e-04
P_BD_vs_N_BL	P_BD vs N_BL	musculo_sarcomero	Musculo/sarcomero	35	35	0	3.37190242480242	CC: Z disc	7.35287926996008e-29	CC: Z disc	3.37	7.35e-29				3.37	7.35e-29
P_BD_vs_N_BL	P_BD vs N_BL	neural_desarrollo	Neural/axon/cresta	2	1	1	1.91497289391625	BP: neuronal action potential	0.0394784662613668	BP: neuronal action potential	1.91	3.95e-02	BP: neuron differentiation	-1.78	7.95e-03	1.91	3.95e-02
P_BD_vs_N_BL	P_BD vs N_BL	lipidos	Lipidos	3	2	1	2.27516746314269	MF: acyl-CoA dehydrogenase activity	0.000832951408236761	MF: acyl-CoA dehydrogenase activity	2.28	8.33e-04	BP: lipid transport	-1.91	6.18e-03	2.28	8.33e-04
P_BD_vs_N_BL	P_BD vs N_BL	mitocondria_metabolismo	Mitocondria/metabolismo	17	17	0	2.67786823915823	CC: mitochondrion	4.6683474561759e-29	CC: mitochondrion	2.68	4.67e-29				2.68	4.67e-29
P_BD_vs_N_BL	P_BD vs N_BL	inmunidad_inflamacion	Inmunidad/inflamacion	14	1	13	-2.31998419173666	BP: negative regulation of NIK/NF-kappaB signaling	0.000194899853309356	BP: leukocyte migration	2.01	3.19e-02	CC: lysosome	-2.18	3.27e-08	-2.32	1.95e-04
P_BD_vs_N_BL	P_BD vs N_BL	traduccion_ribosoma	Traduccion/ribosoma	13	13	0	2.56211383910417	MF: structural constituent of ribosome	1.49785204204371e-11	MF: structural constituent of ribosome	2.56	1.50e-11				2.56	1.50e-11
P_BD_vs_N_BL	P_BD vs N_BL	desarrollo_morfogenesis	Desarrollo/morfogenesis	15	10	5	2.85588727415941	BP: cardiac muscle fiber development	2.55869760650375e-09	BP: skeletal muscle tissue development	2.82	4.33e-13	BP: epidermis development	-2.31	1.37e-04	2.86	2.56e-09
