contrast	short_label	direction	display_label	gene_id	baseMean	log2FoldChange	padj	best_description	log2FoldChange_fmt	padj_fmt
P_OL_vs_N_OD	Pseudoalbino: ocular clara vs Normal: ocular oscura	down	ENSSMAG00000029313	ENSSMAG00000029313	126.038132622321	-3.4913989624109	0.000295657466128707	No functional description available from local Salmon/GTF annotation	-3.49	2.96e-04
P_OL_vs_N_OD	Pseudoalbino: ocular clara vs Normal: ocular oscura	down	ENSSMAG00000014583	ENSSMAG00000014583	868.850932697924	-3.67279624237112	0.00202108754987845	No functional description available from local Salmon/GTF annotation	-3.67	2.02e-03
P_OL_vs_N_OD	Pseudoalbino: ocular clara vs Normal: ocular oscura	down	acmsd / ENSSMAG00000004685	ENSSMAG00000004685	56.4050992049906	-3.58731395242984	0.00202108754987845	Direct local gene symbol: acmsd	-3.59	2.02e-03
P_OL_vs_N_OD	Pseudoalbino: ocular clara vs Normal: ocular oscura	down	ENSSMAG00000002991	ENSSMAG00000002991	528.533360402527	-3.44084936163452	0.00202108754987845	No functional description available from local Salmon/GTF annotation	-3.44	2.02e-03
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	down	ENSSMAG00000002702	ENSSMAG00000002702	309.316767089106	-4.34814028732271	2.47966824090507e-17	No functional description available from local Salmon/GTF annotation	-4.35	2.48e-17
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	down	ENSSMAG00000035843	ENSSMAG00000035843	46.4131469077158	-8.47398867056318	3.65706203451214e-07	No functional description available from local Salmon/GTF annotation	-8.47	3.66e-07
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	up	vcla / ENSSMAG00000005062	ENSSMAG00000005062	160.799377666029	4.08282583284234	9.39009214736394e-06	Direct local gene symbol: vcla	4.08	9.39e-06
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	up	usp13 / ENSSMAG00000003050	ENSSMAG00000003050	111.168384192624	3.08578574098775	1.22633805833035e-05	Direct local gene symbol: usp13	3.09	1.23e-05
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	up	ENSSMAG00000000087	ENSSMAG00000000087	295.695681086008	3.00684480514415	1.22633805833035e-05	No functional description available from local Salmon/GTF annotation	3.01	1.23e-05
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	up	ca2 / ENSSMAG00000005625	ENSSMAG00000005625	137.733906665507	3.61710876827976	3.06556731457172e-05	Direct local gene symbol: ca2	3.62	3.07e-05
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	down	ENSSMAG00000031332	ENSSMAG00000031332	227.602597053638	-4.99483279654906	3.40233325867965e-05	No functional description available from local Salmon/GTF annotation	-4.99	3.40e-05
P_BD_vs_N_BL	Pseudoalbino: ciega oscura vs Normal: ciega clara	up	smyd2b / ENSSMAG00000013183	ENSSMAG00000013183	130.954382924964	4.33793624662801	9.97770235406294e-05	Ensembl REST display name: smyd2b	4.34	9.98e-05
