method	contrast	direction	ontology	GO_ID	Description	pvalue	p.adjust	qvalue	Count	signed_effect
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0003146	BP: heart jogging	0.07772020725388601	0.31033637922742574	0.2594733069163749	30	1.3926390160106978
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0046839	BP: phospholipid dephosphorylation	0.07819905213270142	0.31157384077961786	0.2605079527478707	17	1.4518743806203263
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0030838	BP: positive regulation of actin filament polymerization	0.07830342577487764	0.31157384077961786	0.2605079527478707	35	-1.3396676216992727
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0072574	BP: hepatocyte proliferation	0.07852193995381063	0.3118989949384812	0.26077981525096466	15	1.4695512519772602
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0001894	BP: tissue homeostasis	0.07888631090487239	0.31280137193584184	0.26153429574137094	21	1.4169466802673831
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0035162	BP: embryonic hemopoiesis	0.07911392405063292	0.313159282700422	0.2618335461544156	55	1.3514993935482822
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0033209	BP: tumor necrosis factor-mediated signaling pathway	0.07954545454545454	0.31432172680006304	0.26280546963754114	30	-1.3598718892393098
GSEA	P_OL_vs_N_OD	NES_positive	MF	GO:0030169	MF: low-density lipoprotein particle binding	0.03768018953793354	0.3144067428111444	0.28574676842575525	14	1.5500499106025332
GSEA	P_OL_vs_N_OD	NES_positive	CC	GO:0005643	CC: nuclear pore	0.03526166277821418	0.3154316015796614	0.2901916745384134	43	1.4694893735922396
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0055119	BP: relaxation of cardiac muscle	0.08014571948998178	0.3161457447009662	0.2643305372361264	10	-1.431406313161945
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0001657	BP: ureteric bud development	0.08031088082901554	0.31625010067384357	0.26441778962157464	30	1.3794751594904056
GSEA	P_OL_vs_N_OD	NES_positive	MF	GO:0019838	MF: growth factor binding	0.0383447018666583	0.3165477515800728	0.28769261198948565	34	1.505563320051347
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0030183	BP: B cell differentiation	0.08067226890756303	0.3171254708780064	0.2651496896399213	24	-1.3997055252524295
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0051127	BP: positive regulation of actin nucleation	0.0812533429274125	0.318797089524547	0.2665473357012718	15	-1.5085642789757612
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0043407	BP: negative regulation of MAP kinase activity	0.081377151799687	0.318797089524547	0.2665473357012718	43	-1.3227320384068224
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0043149	BP: stress fiber assembly	0.08163265306122448	0.31924948366996886	0.26692558399183447	23	-1.4001443770728645
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:1902287	BP: semaphorin-plexin signaling pathway involved in axon guidance	0.0821256038647343	0.32062735755409966	0.268077629053774	23	1.4343191216618905
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0001662	BP: behavioral fear response	0.08275862068965517	0.32199599858773686	0.2692219544978723	14	1.4628781047621224
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0035767	BP: endothelial cell chemotaxis	0.08275862068965517	0.32199599858773686	0.2692219544978723	14	1.4624490931622054
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0007190	BP: activation of adenylate cyclase activity	0.08333333333333333	0.32312925170068024	0.27016947129729085	11	1.4950926292162399
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0035469	BP: determination of pancreatic left/right asymmetry	0.08333333333333333	0.32312925170068024	0.27016947129729085	20	1.4502816097834763
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0051660	BP: establishment of centrosome localization	0.08348134991119005	0.32315361255944536	0.2701898394945316	12	-1.3995016578485449
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0021987	BP: cerebral cortex development	0.08376963350785341	0.3237199396574674	0.27066334751600807	31	1.3910704426916434
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0003333	BP: amino acid transmembrane transport	0.08448275862068966	0.32592333274986873	0.2725056120083159	17	-1.4062105853190607
GSEA	P_OL_vs_N_OD	NES_positive	MF	GO:0048495	MF: Roundabout binding	0.03991854555520871	0.32607148790359963	0.2963482052298043	17	1.5697227024765628
GSEA	P_OL_vs_N_OD	NES_positive	CC	GO:0031430	CC: M band	0.037206983137217445	0.32688992327698185	0.3007331343797651	39	1.4369635891982822
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0006004	BP: fucose metabolic process	0.08550182474323308	0.32750210877617636	0.2738256320376987	15	-1.49298829635462
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0050803	BP: regulation of synapse structure or activity	0.08558558558558559	0.32750210877617636	0.2738256320376987	11	1.4704240794204229
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0044030	BP: regulation of DNA methylation	0.08561020036429873	0.32750210877617636	0.2738256320376987	10	-1.4256815951834017
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0035025	BP: positive regulation of Rho protein signal transduction	0.08520900321543408	0.32750210877617636	0.2738256320376987	32	-1.335477309497873
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0034613	BP: cellular protein localization	0.08517350157728706	0.32750210877617636	0.2738256320376987	56	1.3307019131828257
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0030174	BP: regulation of DNA-dependent DNA replication initiation	0.08597285067873303	0.32833852520521156	0.2745249626715781	13	1.4316674531144409
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0048884	BP: neuromast development	0.08681135225375626	0.33071512630340183	0.2765120469692801	26	-1.3512655250251662
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0071466	BP: cellular response to xenobiotic stimulus	0.08688524590163935	0.33071512630340183	0.2765120469692801	34	-1.3246482193873137
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0048699	BP: generation of neurons	0.08775981524249422	0.333487297921478	0.2788298691301001	15	1.430706281421801
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0004530	MF: deoxyribonuclease I activity	0.04171910868720833	0.33375286949766664	0.3033293849205598	10	-1.539106674073136
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0004726	MF: non-membrane spanning protein tyrosine phosphatase activity	0.04171910868720833	0.33375286949766664	0.3033293849205598	10	-1.538429973782751
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0097153	MF: cysteine-type endopeptidase activity involved in apoptotic process	0.04215851602023609	0.3338266166500327	0.30339640959783226	13	-1.5417007548317545
GSEA	P_OL_vs_N_OD	NES_positive	MF	GO:0016812	MF: hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides	0.04322479854031671	0.33686821705426356	0.3061607507139943	15	1.5429546633689366
GSEA	P_OL_vs_N_OD	NES_negative	MF	GO:0004707	MF: MAP kinase activity	0.043410852713178294	0.33686821705426356	0.3061607507139943	39	-1.4712609733515707
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0060452	BP: positive regulation of cardiac muscle contraction	0.08925318761384335	0.33815851922164214	0.28273549321809505	10	-1.4087381088391704
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0048667	BP: cell morphogenesis involved in neuron differentiation	0.08928571428571429	0.33815851922164214	0.28273549321809505	13	-1.3719233233092092
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0018298	BP: protein-chromophore linkage	0.0896551724137931	0.3389946817635958	0.2834346115761182	14	1.4245399029188253
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0042462	BP: eye photoreceptor cell development	0.08983451536643026	0.33911042224414073	0.28353138258732175	22	1.4178988529555214
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0043434	BP: response to peptide hormone	0.09012131715771231	0.33963074895799017	0.2839664295304341	18	-1.4040450555343569
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0022008	BP: neurogenesis	0.090625	0.34096534653465344	0.28508229112384925	60	1.2710664655765822
GSEA	P_OL_vs_N_OD	NES_positive	CC	GO:0005865	CC: striated muscle thin filament	0.039544573916112546	0.3413321116969715	0.31401970053422706	38	1.4451527575221084
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0003214	BP: cardiac left ventricle morphogenesis	0.09111617312072894	0.3415435139573071	0.2855656988812018	12	1.4245825814184743
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0090382	BP: phagosome maturation	0.09107468123861566	0.3415435139573071	0.2855656988812018	10	-1.4049985301974144
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0071108	BP: protein K48-linked deubiquitination	0.0912280701754386	0.3415435139573071	0.2855656988812018	20	-1.3726753131819764
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0016559	BP: peroxisome fission	0.0913884007029877	0.34158287475870813	0.28559860858172686	15	-1.4072954177929762
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0009263	BP: deoxyribonucleotide biosynthetic process	0.09234234234234234	0.3431773623353968	0.28693176509206075	11	1.4484704201904661
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0042273	BP: ribosomal large subunit biogenesis	0.0924170616113744	0.3431773623353968	0.28693176509206075	19	1.415772014022943
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0060384	BP: innervation	0.09237875288683603	0.3431773623353968	0.28693176509206075	15	1.4108912739337074
