method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0006511	BP: ubiquitin-dependent protein catabolic process	ubiquitin-dependent protein catabolic process	2.91878084828053e-06	0.0002893400145252	0.000241918174656111	247	-1.74548219923709		other	Otros
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0016579	BP: protein deubiquitination	protein deubiquitination	3.44784315480354e-06	0.000327545099706337	0.000273861576901281	96	-1.99700764816156		other	Otros
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0006364	BP: rRNA processing	rRNA processing	5.17943847652045e-06	0.000472364789058665	0.000394945813935939	91	2.00587455445569		traduccion_ribosoma	Traduccion/ribosoma
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0006955	BP: immune response	immune response	5.52165969100664e-06	0.000484207080595966	0.000404847194348705	83	-2.04062510004591		inmunidad_inflamacion	Inmunidad/inflamacion
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0001889	BP: liver development	liver development	6.24325907202678e-06	0.000527208543860039	0.000440800864695536	120	1.92624728858754		desarrollo_morfogenesis	Desarrollo/morfogenesis
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0009953	BP: dorsal/ventral pattern formation	dorsal/ventral pattern formation	8.30413706130516e-06	0.000676194017849134	0.000565368128497129	115	1.94802334226336		desarrollo_morfogenesis	Desarrollo/morfogenesis
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0032331	BP: negative regulation of chondrocyte differentiation	negative regulation of chondrocyte differentiation	9.5297510977353e-06	0.000749235603546086	0.000626438447840241	26	2.27494160412229		desarrollo_morfogenesis	Desarrollo/morfogenesis
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0031290	BP: retinal ganglion cell axon guidance	retinal ganglion cell axon guidance	1.04048708501067e-05	0.000790770184608107	0.000661165652966428	55	2.04943902673318		neural_desarrollo	Neural/axon/cresta
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0060976	BP: coronary vasculature development	coronary vasculature development	1.38571613071547e-05	0.000957403872130685	0.000800488648397355	34	2.21053284667698		desarrollo_morfogenesis	Desarrollo/morfogenesis
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0003429	BP: growth plate cartilage chondrocyte morphogenesis	growth plate cartilage chondrocyte morphogenesis	1.30746127205897e-05	0.000957403872130685	0.000800488648397355	35	2.20597229738884		desarrollo_morfogenesis	Desarrollo/morfogenesis
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:1900016	BP: negative regulation of cytokine production involved in inflammatory response	negative regulation of cytokine production involved in inflammatory response	1.34632921852888e-05	0.000957403872130685	0.000800488648397355	12	-2.16367014957985		inmunidad_inflamacion	Inmunidad/inflamacion
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0006559	BP: L-phenylalanine catabolic process	L-phenylalanine catabolic process	1.64452306857926e-05	0.00110279782245903	0.000922053026995986	11	2.25301867801697		other	Otros
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:1901223	BP: negative regulation of NIK/NF-kappaB signaling	negative regulation of NIK/NF-kappaB signaling	1.91537938688829e-05	0.00124773285774437	0.0010432337051593	20	-2.13062044450468		inmunidad_inflamacion	Inmunidad/inflamacion
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0051259	BP: protein complex oligomerization	protein complex oligomerization	2.77601079761597e-05	0.00175814017182345	0.00146998700423466	22	-2.10430206724237		other	Otros
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0060070	BP: canonical Wnt signaling pathway	canonical Wnt signaling pathway	2.96359614032706e-05	0.00182621599998532	0.0015269054367375	93	1.92763472491288		wnt_retinoides_senalizacion	Wnt/retinoides/senalizacion
